user,text
satishk73846287,@Snapdeal_Help Why u cancelled my order ...since last 7 days u irritated me and now u cancelled the order ...plz ca… https://t.co/3p4d5JEh8F
Snapdeal_Help,@vikas74145292 We always request everyone to never share their details publicly as our page is visible to everyone.… https://t.co/9bvZtXMvzX
Snapdeal_Help,@satishk73846287 I have asked my team to connect with you regarding this. Kindly wait for some time. Thanks! Sam
satishk73846287,@Snapdeal_Help Each and every time you are disappointing me...
Snapdeal_Help,@satishk73846287 So sorry to disappoint you. I'll get this checked and have my team contact you soon. Thanks! Sam
satishk73846287,"@Snapdeal_Help I can't understand ,what is happening in Snapdeal after 6 days there was confirmation that i will ge… https://t.co/C3NCBDygEJ"
Snapdeal_Help,@satishk73846287 Apologies for the same. My team will soon get in touch with you. Thanks! Sam
satishk73846287,"@Snapdeal_Help Dear Snapdeal
Why you have cancelled my order...i think you have taken an oath of surprising me"
Bridget03006902,@i__am_Eric @snapchatsupport @Snapchat @Snap @SnapforDevs @snapdeal My account was recover back with the help of tr… https://t.co/Opl6c7cABI
i__am_Eric,@GodsonJ717 @snapchatsupport @Snapchat @Snap @SnapforDevs @snapdeal Thank you 🙏🏾
i__am_Eric,@Kimberly15764 @snapchatsupport @Snapchat @Snap @SnapforDevs @snapdeal Thank you 😊
Kimberly15764,@i__am_Eric @snapchatsupport @Snapchat @Snap @SnapforDevs @snapdeal If you can reach out to BILLCYBERTECH on instag… https://t.co/k8zQHQEzpo
i__am_Eric,Hello @snapchatsupport  it’s been long waiting for your reply about the issue I shared with you here and emails. Pl… https://t.co/tXJV6XfeHX
Snapdeal_Help,@rebel_124 We've escalated this to our team &amp; we’ll update you on this asap. Thanks! Sia
Snapdeal_Help,@arya_kitkat Glad to assist you :-) - Sia
rebel_124,"@Snapdeal_Help I want solution  no need phone call , replace this product or refund my money that’s it. Don’t make… https://t.co/m6kKy4VcQl"
arya_kitkat,@Snapdeal_Help thank u snapdeal team member you help me. You are solve my problem. Thank u
Snapdeal_Help,@rebel_124 We've arranged a call for you. We'll be connecting with you at the earliest. Thanks! Sia
rebel_124,@Snapdeal_Help From last 20 days @snapdeal  can’t check this matter ? Oh don’t make me fool ok Or don’t try to frau… https://t.co/ychX69k8sw
rebel_124,"@Snapdeal_Help See don’t Divert your conversation , If your employee done fraud nd give us damaged Product then you… https://t.co/04s4m4c1DE"
Snapdeal_Help,@rebel_124 We always request our customers to never share their personal details publicly as our page is visible to… https://t.co/rLmND19cms
Snapdeal_Help,@rebel_124 Hi! Apologies for the experience you have been through. This should not have happened. We'll get this ch… https://t.co/w0OViO2NDV
rebel_124,"@Snapdeal_Help @1kunalbahl  @rohitkbansal  employees doing fraud with us , is this fair ?? I never purchase from… https://t.co/rtSGLdPtKA"
Snapdeal_Help,@minahisangnar Hi! Sincere apologies for the unpleasant experience. Please PRIVATE MESSAGE us the order ID by click… https://t.co/cvVkmKxxiV
minahisangnar,"@snapdeal have ordered sandels shoes was delivered.havw requested for return and refund ,pickup guy refused to pick… https://t.co/0Pnm1Mgyay"
Snapdeal_Help,"@Rakesh73576967 As conveyed to you over the call, please wait till the requested time. We are working on it and wil… https://t.co/fcL7AQQbX2"
Rakesh73576967,@Snapdeal_Help Call me now 9521012907
Rakesh73576967,@Snapdeal_Help Sir my account is blocked please my refund money
Snapdeal_Help,"@Ranjan_313 Hi! Our internal teams are already looking at it. Rest assured, we'll make sure such incidents does not… https://t.co/hfUA4xhkfF"
Ranjan_313,@guddu874196 That's good but how is this possible @Snapdeal_Help should do inquiry
Snapdeal_Help,@vikas74145292 Hi! Sincere apologies for the unpleasant experience. Please PRIVATE MESSAGE us the order ID by click… https://t.co/HLL2seKfTk
Snapdeal_Help,"@UmaShan51606247 Hi! Facing any issue with us? Please elaborate on what went wrong via ""Private Message"" by clickin… https://t.co/2jz9vMthvQ"
UmaShan51606247,"@snapdeal cheater company,"
Drabhigautam,@Flipkart Even name of query resolution u cancel order...great @flipkartsupport @Flipkart @_Kalyan_K even your cour… https://t.co/7HrIqHBwG2
Snapdeal_Help,@Babu41465356 Hi! Our team got in touch with you and updated you on the issue. Thanks! Urvi
Babu41465356,@Snapdeal_Help How many times
Snapdeal_Help,"@iamujjwaal Hi! Please share your contact details via Private Message so that we can help you better. Regards, Nain… https://t.co/1vD4l9ZT65"
iamujjwaal,@Snapdeal_Help The delivery boy given me this order id only
Snapdeal_Help,"@iamujjwaal Hi! We request you to please share the 11-digit order number with us via ""Private Message"". Thanks! Ash… https://t.co/f3lfSlTQnM"
iamujjwaal,"@snapdeal @Snapdeal_Help can you please tell me who placed this order on my address?
Order id -SDLC1010440932.
Can… https://t.co/ua3UiSSs52"
RahulRaviJha,"RT @MadameYG: #Snapdeal destroyed ✔️
#MyntraBoycott - Work in progress 🛠
#Amazon - we will catch you later Uncle Sam 
#Patanjali - Swadeshi…"
snapdeal,"Why have one when you can have so many? 😎 Shop on #Snapdeal now! 

#ToofaniSale #Footwear #Deals #MustHave… https://t.co/NLgZPHcYf4"
Snapdeal_Help,@Gaurav73249850 Hi! Sincere apologies for this experience. We're working to get this resolved on priority. Apprecia… https://t.co/oE3vz0hMZe
Snapdeal_Help,@Gaurav73249850 We value the importance of your concern. Our team is working on your concern and will update you soon. Thanks! Naina
Manish_G12,"Get the best of sporty look with #GizFit #Sonic #fitness #Smartwatch. 
Check it out here : https://t.co/2al1cP1f3C… https://t.co/kgudVjuq80"
Snapdeal_Help,"@Gaurav73249850 Hi! We've responded to you via private message, please check. Thanks! Urvi"
Snapdeal_Help,@GSTWITHGAWESHN1 Hi! Really sorry for the unpleasant experience. Our team got in touch with you and updated you on the issue. Thanks! Naina
GSTWITHGAWESHN1,"@Sachin41275230 @Snapdeal_Help Poor service by snap deal, my parcel was not picked up for return, failed 👎👎 return… https://t.co/OhJYdp6bC3"
Gaurav73249850,@Snapdeal_Help @Sachin41275230 not going take a chance doing shopping thorough Snapdeal..!
AvinashVora,Sad to say but Flipkart is becoming the new Snapdeal where you order something and receive something and to add to… https://t.co/smhN1Xf15K
Susmita109,"Hi, Sir/Madam @Amazon, @myntra, @Flipkart, @Snapdeal And @meeshotech,  @getsimpl #KeepItSimpl
Sir we are not able t… https://t.co/GesEtrRAi1"
Pradee089,"@pm785021 @amazonIN @meesho @Flipkart @myntra Hi, Sir/Madam @amazonIN and @myntra,@Flipkart,@Snapdeal,@Meesho
 plz… https://t.co/Hc9tft5rxj"
